iteration,relative_residual,relative_energy_gap
85,0.21349740048702298,0.9337841128308739
86,0.198502906346971,0.9334132035494378
87,0.21242718327028767,0.9330434556106723
88,0.19777359559569377,0.9326748496782221
89,0.2113962362505388,0.9323073669229722
90,0.1970729969195678,0.9319409890038434
91,0.21040269839032869,0.9315756980494774
92,0.1963996084265423,0.9312114766404775
93,0.20944482140089868,0.9308483077930548
94,0.19575202643608644,0.9304861749428387
95,0.20852096097379583,0.9301250619298367
96,0.1951289375827696,0.9297649529841716
97,0.20762956887268705,0.9294058327121851
98,0.19452911167444836,0.929047686083223
99,0.20676918578149772,0.928690498417351
100,0.1939513952212224,0.928334255373056
101,0.20593843481998184,0.9279789429360707
102,0.19339470556216956,0.9276245474082766
103,0.20513601565036352,0.9272710553970053
104,0.1928580255261515,0.9269184538056159
105,0.204360699109129,0.9265667298234119
106,0.19234039857076904,0.9262158709167099
107,0.20361132230685053,0.92586586481962
108,0.19184092435027272,0.9255166995264907
109,0.2028867841463472,0.925168363282689
110,0.19135875466899435,0.9248208445779164
111,0.20218604121579475,0.9244741321381685
112,0.1908930897818499,0.9241282149190198
113,0.2015081040187508,0.9237830820979724
114,0.1904431750077648,0.9234387230691554
115,0.20085203350766445,0.9230951274359471
116,0.19000829762568078,0.9227522850051696
117,0.20021693789136943,0.9224101857819191
118,0.189587784026062,0.9220688199632167
119,0.19960196969047211,0.9217281779326568
120,0.1891809970937342,0.9213882502558596
121,0.19900632301746463,0.9210490276750284
122,0.18878733380043497,0.920710501103997
123,0.19842923106098123,0.920372661624331
124,0.1884062229876972,0.9200355004800462
125,0.19786996375581364,0.9196990090737637
126,0.1880371233226948,0.9193631789627229
127,0.19732782562225373,0.9190280018547914
128,0.18767952141141558,0.9186934696041508
129,0.1968021537600438,0.9183595742081669
130,0.18733293005514176,0.9180263078033841
131,0.19629231598373617,0.9176936626629424
132,0.18699688663756758,0.9173616311919003
133,0.19579770908752894,0.9170302059252914
134,0.18667095163116246,0.916699379524458
135,0.19531775722888453,0.9163691447738302
136,0.18635470721248917,0.9160394945788046
137,0.19485191042123653,0.9157104219624018
138,0.18604775597717868,0.915381920062489
139,0.19439964312701263,0.9150539821295319
140,0.18574971974615592,0.9147266015237615
141,0.19396045294304898,0.9143997717130592
142,0.1854602384555184,0.9140734862703591
143,0.19353385937117293,0.9137477388713025
144,0.18517896912315795,0.913422523292407
145,0.19311940266740474,0.9130978334083869
146,0.18490558488589445,0.9127736631905156
147,0.19271664276382514,0.9124500067041633
148,0.1846397741014354,0.9121268581075493
149,0.1923251582576479,0.9118042116489355
150,0.18438123951001836,0.9114820616655723
151,0.19194454546255704,0.911160402581472
152,0.1841296974510318,0.9108392289059257
153,0.1915744175177552,0.9105185352314381
154,0.1838848771303818,0.910198316232628
155,0.1912144035505779,0.9098785666640873
156,0.18364651993467662,0.9095592813593165
157,0.19086414788886427,0.9092404552289662
158,0.18341437878872419,0.9089220832592025
159,0.19052330931960168,0.9086041605108451
